# A new X-ray bound on primordial black holes density
# Upper limits on the abundances of PBHs based on existing X-ray data
# Please refer to Inoue & Kusenko 2017 (arXiv:1705.00791), if you use the data below.
# https://arxiv.org/abs/1705.00791
# 1st Col: PBH Mass (M_sun)
# 2nd Col: Omega_PBH / Omega_DM (f_{DM, disk} = 0.00)
# 3rd Col: Omega_PBH / Omega_DM (f_{DM, disk} = 0.25)
# 4th Col: Omega_PBH / Omega_DM (f_{DM, disk} = 1.00)

1.57e+04  0.00125 0.000254 7.49e-05
1.71e+04  0.00118 0.000248 7.35e-05
1.86e+04  0.00112 0.000243 7.26e-05
2.03e+04  0.00106 0.000239 7.19e-05
2.2e+04  0.00101 0.000236 7.16e-05
2.4e+04  0.000959 0.000234 7.16e-05
2.61e+04  0.000914 0.000233 7.2e-05
2.84e+04  0.000873 0.000233 7.27e-05
3.09e+04  0.000835 0.000233 7.38e-05
3.36e+04  0.0008 0.000235 7.53e-05
3.66e+04  0.000769 0.000237 7.71e-05
3.98e+04  0.00074 0.00024 7.95e-05
4.33e+04  0.000713 0.000244 8.22e-05
4.71e+04  0.000689 0.000249 8.55e-05
5.13e+04  0.000667 0.000255 8.92e-05
5.58e+04  0.000647 0.000261 9.35e-05
6.07e+04  0.00063 0.000268 9.83e-05
6.61e+04  0.000614 0.000275 0.000104
7.19e+04  0.0006 0.000283 0.000109
7.82e+04  0.000588 0.000291 0.000115
8.51e+04  0.000578 0.000299 0.000122
9.26e+04  0.00057 0.000307 0.000129
1.01e+05  0.000563 0.000315 0.000136
1.1e+05  0.000558 0.000323 0.000142
1.19e+05  0.000555 0.00033 0.000149
1.3e+05  0.000554 0.000338 0.000156
1.41e+05  0.000555 0.000346 0.000162
1.54e+05  0.000558 0.000354 0.000169
1.67e+05  0.000563 0.000362 0.000175
1.82e+05  0.00057 0.000371 0.000181
1.98e+05  0.00058 0.000381 0.000188
2.15e+05  0.000593 0.000393 0.000196
2.34e+05  0.000608 0.000407 0.000204
2.55e+05  0.000627 0.000423 0.000214
2.78e+05  0.00065 0.000442 0.000226
3.02e+05  0.000676 0.000465 0.00024
3.29e+05  0.000707 0.000491 0.000256
3.58e+05  0.000743 0.000522 0.000276
3.89e+05  0.000784 0.000558 0.0003
4.23e+05  0.000832 0.000601 0.000328
4.61e+05  0.000886 0.000651 0.000362
5.01e+05  0.000947 0.000709 0.000404
5.45e+05  0.00101 0.000775 0.000454
5.93e+05  0.00109 0.000852 0.000502
6.46e+05  0.00117 0.000939 0.00055
7.03e+05  0.00126 0.00104 0.000608
7.64e+05  0.00136 0.00115 0.000678
8.32e+05  0.00146 0.00126 0.000763
9.05e+05  0.00157 0.00139 0.000866
9.85e+05  0.00167 0.00152 0.000989
1.07e+06  0.00178 0.00165 0.00114
1.17e+06  0.00189 0.00179 0.00131
1.27e+06  0.00199 0.00191 0.00152
1.38e+06  0.0021 0.00204 0.00175
1.5e+06  0.0022 0.00216 0.00201
1.63e+06  0.00231 0.00229 0.00221
1.78e+06  0.00243 0.00242 0.00237
1.93e+06  0.00256 0.00255 0.00252
2.11e+06  0.00271 0.0027 0.00269
2.29e+06  0.00288 0.00288 0.00287
2.49e+06  0.00309 0.00308 0.00308
2.71e+06  0.00333 0.00333 0.00333
2.95e+06  0.00362 0.00362 0.00362
3.21e+06  0.00398 0.00398 0.00398
3.49e+06  0.00443 0.00443 0.00443
3.8e+06  0.00498 0.00498 0.00498
4.14e+06  0.00556 0.00556 0.00555
4.5e+06  0.00607 0.00607 0.00607
4.9e+06  0.00669 0.00669 0.00669
5.33e+06  0.00747 0.00747 0.00747
5.8e+06  0.00843 0.00843 0.00843
6.31e+06  0.00965 0.00965 0.00965
6.87e+06  0.0112 0.0112 0.0112
7.47e+06  0.0132 0.0132 0.0132
8.13e+06  0.0159 0.0159 0.0159
8.84e+06  0.0194 0.0194 0.0194
9.62e+06  0.0242 0.0242 0.0242
1.05e+07  0.0308 0.0308 0.0308
1.14e+07  0.0401 0.0401 0.0401
1.24e+07  0.0536 0.0536 0.0536
1.35e+07  0.0735 0.0735 0.0735
1.47e+07  0.104 0.104 0.104
1.6e+07  0.152 0.152 0.152
1.74e+07  0.229 0.229 0.229
1.89e+07  0.359 0.359 0.359
2.06e+07  0.586 0.586 0.586
2.24e+07  0.999 0.999 0.999
2.44e+07  1 1 1
2.65e+07  1 1 1
2.88e+07  1 1 1
3.14e+07  1 1 1
3.41e+07  1 1 1
3.72e+07  1 1 1
4.04e+07  1 1 1
4.4e+07  1 1 1
4.79e+07  1 1 1
5.21e+07  1 1 1
5.67e+07  1 1 1
6.17e+07  1 1 1
6.71e+07  1 1 1
7.3e+07  1 1 1
7.94e+07  1 1 1
8.64e+07  1 1 1
9.4e+07  1 1 1
1.02e+08  1 1 1
1.11e+08  1 1 1
1.21e+08  1 1 1
1.32e+08  1 1 1
1.43e+08  1 1 1
1.56e+08  1 1 1
1.7e+08  1 1 1
1.85e+08  1 1 1
2.01e+08  1 1 1
2.19e+08  1 1 1
2.38e+08  1 1 1
2.59e+08  1 1 1
2.82e+08  1 1 1
3.07e+08  1 1 1
3.34e+08  1 1 1
3.63e+08  1 1 1
3.95e+08  1 1 1
4.3e+08  1 1 1
4.68e+08  1 1 1
5.09e+08  1 1 1
5.54e+08  1 1 1
6.03e+08  1 1 1
6.56e+08  1 1 1
7.13e+08  1 1 1
7.76e+08  1 1 1
8.45e+08  1 1 1
9.19e+08  1 1 1
1e+09  1 1 1
